#OTU ID,WAS_76,R1_76,R2_76,R3_76,WAS_121,R1_121,R2_121,R3_121,WAS_160,R1_160,R2_160,R3_160,WAS_196,R1_196,R2_196,R3_196
4880245127a3f5bb73b8ab996cedd39c,0,0,0,0,0.00167655,0.002435099,0.001398626,0.001383673,0,0,0,0,0,0,0,0
f7d4a1112c38703be2a4c492744a79bb,0,0,0,0,0.008008646,0.002435099,0.002535009,0.002174343,0,0,0,0,0,0,0,0
f3ff8543bc75f80ae08b67ea89aae37b,0,0,0,0,0.000942194,0.002371575,0.002692355,0.002605617,0,0,0,0,0,0,0,0
94754fdb8bc7f0d0f98448ce3e355517,0,0,0,0,0,0.0023504,0.002657389,0.00321659,0,0,0,0,0,0,0,0
2df62be69fbf25421ae95951c9023554,0,0,0,0,0,0.002329225,0.002360181,0.002641557,0,0,0,0,0,0,0,0
970226aee4924108a6c9ad6cd77ce5bc,0,0,0,0,0,0.002329225,0.00204549,0.002497799,0,0,0,0,0,0,0,0
b0ae0088eddea7502738e288d4e50fb5,0,0,0,0,0.003062129,0.002329225,0.001800731,0.001761038,0,0,0,0,0,0,0,0
85883651cd845a9ec2ecfe584c2e11dc,0,0,0,0,0,0.002308051,0.001538488,0.000467214,0,0,0,0,0,0,0,0
af81441161de106d85aad40a86c716d0,0,0,0,0,0,0.002308051,0.002569975,0.002893134,0,0,0,0,0,0,0,0
c799f088df75a5d6ad50c829fa920faf,0,0,0,0,0.002300061,0.002308051,0.001853179,0.002264192,0,0,0,0,0,0,0,0
02edd6996c8bdace25a674813fb6dbcc,0,0,0,0,0.003311534,0.002286876,0.001818214,0.002120433,0,0,0,0,0,0,0,0
09ae8bcb8c1a21b3bb346ab368b7eec9,0,0,0,0,0,0.002223352,0.00377629,0.003288469,0,0,0,0,0,0,0,0
7432e8d52edd1e4a20c84d86138389c2,0,0,0,0,0,0.002223352,0.002797252,0.002623587,0,0,0,0,0,0,0,0
11122305f4d5e1052cae9df7901ed506,0,0,0,0,0.003547082,0.002181002,0.002692355,0.003000952,0,0,0,0,0,0,0,0
5d0c2468b1bfd5681344200ab6a0d72c,0,0,0,0,0.003630217,0.002138652,0.00229025,0.001994645,0,0,0,0,0,0,0,0
05b9a5f9218f7ee4fe3824970ee32a4b,0,0,0,0,0,0.002117478,0.001048969,0.001419612,0,0,0,0,0,0,0,0
1c7c2c3ae8b6e6e1c17c869ed1ec7bb1,0,0,0,0,0,0.002096303,0.001398626,0.001689159,0,0,0,0,0,0,0,0
6be46a181ebfe74e85b0debd31a64b34,0,0,0,0,0.001662695,0.002096303,0.001031487,0.00163525,0,0,0,0,0,0,0,0
76774ce3b2397d3eb58451c7ba0be92a,0,0,0,0,0.00236934,0.002075128,0.001958076,0.001868857,0,0,0,0,0,0,0,0
75d78aaee848abfc5702a9a4c94ecc83,0,0,0,0,0.001787397,0.002011604,0.001800731,0.001886826,0,0,0,0,0,0,0,0
34964ea9d97ccac2cf18298544e333af,0,0,0,0,0.001884387,0.001990429,0.002028007,0.001886826,0,0,0,0,0,0,0,0
4aacae85c4fc7fc919bb5354fb375ef5,0,0,0,0,0.001288588,0.001990429,0.00204549,0.002066524,0,0,0,0,0,0,0,0
7ece357e8166a41a4d520345b70a73d4,0,0,0,0,0,0.001969254,0.00124128,0.00082661,0,0,0,0,0,0,0,0
02dacd5d7588b63731d9eb5ea9181382,0,0,0,0,0,0.001948079,0.001993042,0.002479829,0,0,0,0,0,0,0,0
a99f24d3fce8551e32e0a4759792d1e0,0,0,0,0,0,0.001948079,0.000979038,0.000844579,0,0,0,0,0,0,0,0
bae1872b848c00982d3b0278b2c0d61c,0,0,0,0,0.002646456,0.001948079,0.001748282,0.001689159,0,0,0,0,0,0,0,0
e5aa1e68c980c01be8bf9f7f58714e6b,0,0,0,0,0.001565704,0.001948079,0.001258763,0.001653219,0,0,0,0,0,0,0,0
16a835da432903a0b359f44eb76cabfe,0,0,0,0,0.003588649,0.001926905,0.001853179,0.002246222,0,0,0,0,0,0,0,0
8b38bb91af0e237b71f39d66b9d6de32,0,0,0,0,0,0.001926905,0.000734279,0.000700821,0,0,0,0,0,0,0,0
b8a67559e3993902b3f8555a47000188,0,0,0,0,0.002452475,0.00190573,0.001503523,0.00156337,0,0,0,0,0,0,0,0
3b0b997f90a80f10cab3d0c119767e0f,0,0,0,0,0,0.001884555,0.001590937,0.003378318,0,0,0,0,0,0,0,0
25800f1210818964c498d30ef8e3d268,0,0,0,0,0.000775924,0.00186338,0.001468557,0.001042247,0,0,0,0,0,0,0,0
6347f83efc89d48cabb3e09ccd1908ec,0,0,0,0,0,0.00186338,0.001765765,0.002102464,0,0,0,0,0,0,0,0
cce24231301f97e7bf51ee049c72271e,0,0,0,0,0.001122319,0.00186338,0.001765765,0.001725098,0,0,0,0,0,0,0,0
eb3d4519f366617f3cf83eec03b82ec3,0,0,0,0,0,0.00186338,0.001451074,0.00156337,0,0,0,0,0,0,0,0
cebf7e5772435a680de505ec56fb3bfe,0,0,0,0,0.001441002,0.001821031,0.001940593,0.001509461,0,0,0,0,0,0,0,0
6378803e6c41b1549fe0c37aff926f0f,0,0,0,0,0,0.001778681,0.001870662,0.001725098,0,0,0,0,0,0,0,0
7803ba685936b57de3a366393feeaaf6,0,0,0,0,0,0.001778681,0.000944072,0.001545401,0,0,0,0,0,0,0,0
c00608a6861f08b8de9fda190ebd98a2,0,0,0,0,0,0.001778681,0.004056015,0.002192313,0,0,0,0,0,0,0,0
fd534bfe9457c95d48b14458d254a8c7,0,0,0,0,0,0.001778681,0.001171349,0.00079067,0,0,0,0,0,0,0,0
a965e88faf473c3c98349885585cff3c,0,0,0,0,0.006830904,0.001736332,0.002080456,0.001725098,0,0,0,0,0,0,0,0
5a72a3407809eb612c3f32770cd7035d,0,0,0,0,0,0.001715157,0.001398626,0.001527431,0,0,0,0,0,0,0,0
e7500263217e3ba437da7426ab3ae572,0,0,0,0,0,0.001693982,0.001993042,0.001743068,0,0,0,0,0,0,0,0
d8a4210aefa7b05f3c996c84c6305dd4,0,0,0,0,0,0.001672807,0.002272767,0.001814947,0,0,0,0,0,0,0,0
8035398de62a9a2eb6aee30535373619,0,0,0,0,0.002438619,0.001651633,0.001573454,0.001796977,0,0,0,0,0,0,0,0
0d6f0d1aa4a91200b3f690804d6fd3ed,0,0,0,0,0.001066896,0.001630458,0.001503523,0.001743068,0,0,0,0,0,0,0,0
9e23287efcdb0d30e6189c3f5f723392,0,0,0,0,0,0.001630458,0.001905628,0.002821255,0,0,0,0,0,0,0,0
73139e375ff8e7b52585620c81ca7d2c,0,0,0,0,0,0.001609283,0.000891624,0.000952398,0,0,0,0,0,0,0,0
104e8867e0a04051862a095d78453c6d,0,0,0,0,0.000900626,0.001545759,0.00136366,0.001401642,0,0,0,0,0,0,0,0
